sens,numerobus,numerobuskr,voiturekr,idbus,idligne,etat,destination, nomcourtligne,coordonnees,date,heure
 0, 51095742, 222, '1001', '51095742', '0010', 'En ligne', 'Porte de Cleunay', '10', [48.098901; -1.705298],2023-03-04,19:33:00
 0, 51325903, 223, '0508', '51325903', '0005', 'En ligne', 'Lycée Bréquigny', 'C5', [48.112526; -1.666897],2023-03-04,19:33:00
 1, 52246547, 227, '3201', '52246547', '0032', 'En ligne', 'Saint-Grégoire', '32', [48.125442; -1.664214],2023-03-04,19:33:00
 1, 52937030, 230, '1206', '52937030', '0012', 'En ligne', 'Villejean-U', '12', [48.08728; -1.64267],2023-03-04,19:33:00
 1, 54317996, 236, '1105', '54317996', '0011', 'En ligne', 'Saint-Saëns', '11', [48.104785; -1.736845],2023-03-04,19:33:00
 0, 55238640, 240, '1201', '55238640', '0012', 'En ligne', 'La Poterie', '12', [48.113142; -1.675243],2023-03-04,19:33:00
 0, 55468801, 241, '1106', '55468801', '0011', 'En ligne', 'ZI Ouest', '11', [48.104238; -1.637794],2023-03-04,19:33:00
 1, 55698962, 242, '0501', '55698962', '0005', 'En ligne', 'Saint-Laurent', 'C5', [48.126344; -1.65188],2023-03-04,19:33:00
 1, 56159284, 244, '1402', '56159284', '0014', 'En ligne', 'Beaulieu Chimie', '14', [48.123511; -1.660382],2023-03-04,19:33:00
 0, 56619606, 246, '6402', '56619606', '0064', 'En ligne', 'Cesson Viasilva', '64', [48.140003; -1.530361],2023-03-04,19:33:00
 0, 75032486, 326, '1308', '75032486', '0013', 'En ligne', 'Porte de Ker Lann', '13', [48.089579; -1.675001],2023-03-04,19:33:00
 1, 75953130, 330, '1309', '75953130', '0013', 'En ligne', 'Chantepie', '13', [48.091295; -1.666744],2023-03-04,19:33:00
 1, 92524722, 402, '1403', '92524722', '0014', 'En ligne', 'Beaulieu Chimie', '14', [48.121241; -1.707948],2023-03-04,19:33:00
 0, 116001144, 504, '1207', '116001144', '0012', 'En ligne', 'La Poterie', '12', [48.121355; -1.705548],2023-03-04,19:33:00
 1, 163644471, 711, '0406', '163644471', '0004', 'En ligne', 'ZA Saint-Sulpice', 'C4', [48.128487; -1.699182],2023-03-04,19:33:00
 1, 164334954, 714, '0403', '164334954', '0004', 'En ligne', 'ZA Saint-Sulpice', 'C4', [48.119628; -1.633613],2023-03-04,19:33:00
 1, 164795276, 716, '0601', '164795276', '0006', 'En ligne', 'Cesson-Sévigné', 'C6', [48.11611; -1.607015],2023-03-04,19:33:00
 0, 165946081, 721, '0109', '165946081', '0001', 'En ligne', 'Chantepie', 'C1', [48.122106; -1.651466],2023-03-04,19:33:00
 0, 167787369, 729, '0208', '167787369', '0002', 'En ligne', 'Haut Sancé', 'C2', [48.095147; -1.650506],2023-03-04,19:33:00
 1, 168247691, 731, '0407', '168247691', '0004', 'En ligne', 'ZA Saint-Sulpice', 'C4', [48.108526; -1.692937],2023-03-04,19:33:00
 1, 171700106, 746, '0305', '171700106', '0003', 'En ligne', 'Patton', 'C3', [48.116494; -1.674126],2023-03-04,19:33:00
 0, 173081072, 752, '0205', '173081072', '0002', 'En ligne', 'Haut Sancé', 'C2', [48.157574; -1.672012],2023-03-04,19:33:00
